     DEPTH         AC        DEN         GR
   59.1250 -9999.0000 -9999.0000    70.8788
   59.2500 -9999.0000 -9999.0000    70.4075
   59.3750 -9999.0000 -9999.0000    67.8290
   59.5000 -9999.0000 -9999.0000    66.0104
   59.6250 -9999.0000 -9999.0000    66.1450
   59.7500 -9999.0000 -9999.0000    67.3101
   59.8750 -9999.0000 -9999.0000    68.7687
   60.0000 -9999.0000 -9999.0000    70.0267
   60.1250 -9999.0000 -9999.0000    71.0736
   60.2500 -9999.0000 -9999.0000    72.1929
   60.3750 -9999.0000 -9999.0000    73.6994
   60.5000 -9999.0000 -9999.0000    74.5206
   60.6250 -9999.0000 -9999.0000    71.9058
   60.7500 -9999.0000 -9999.0000    66.6087
   60.8750 -9999.0000 -9999.0000    60.5279
   61.0000 -9999.0000 -9999.0000    56.2778
   61.1250 -9999.0000 -9999.0000    55.7724
   61.2500 -9999.0000 -9999.0000    59.1380
   61.3750 -9999.0000 -9999.0000    63.4697
   61.5000 -9999.0000 -9999.0000    66.9233
   61.6250 -9999.0000 -9999.0000    69.0520
   61.7500 -9999.0000 -9999.0000    69.6238
   61.8750 -9999.0000 -9999.0000    68.1987
   62.0000 -9999.0000 -9999.0000    65.9803
   62.1250 -9999.0000 -9999.0000    65.2586
   62.2500 -9999.0000 -9999.0000    66.2304
   62.3750 -9999.0000 -9999.0000    67.4765
   62.5000 -9999.0000 -9999.0000    68.4428
   62.6250 -9999.0000 -9999.0000    69.0899
   62.7500 -9999.0000 -9999.0000    69.0165
   62.8750 -9999.0000 -9999.0000    68.1842
   63.0000 -9999.0000 -9999.0000    67.3502
   63.1250 -9999.0000 -9999.0000    67.8356
   63.2500 -9999.0000 -9999.0000    68.8419
   63.3750 -9999.0000 -9999.0000    68.7299
   63.5000 -9999.0000 -9999.0000    68.2155
   63.6250 -9999.0000 -9999.0000    68.8567
   63.7500 -9999.0000 -9999.0000    72.5901
   63.8750 -9999.0000 -9999.0000    77.1222
   64.0000 -9999.0000 -9999.0000    79.5443
   64.1250 -9999.0000 -9999.0000    78.9138
   64.2500 -9999.0000 -9999.0000    76.9179
   64.3750 -9999.0000 -9999.0000    75.4890
   64.5000 -9999.0000 -9999.0000    74.9362
   64.6250 -9999.0000 -9999.0000    73.8951
   64.7500 -9999.0000 -9999.0000    71.1787
   64.8750 -9999.0000 -9999.0000    66.8125
   65.0000 -9999.0000 -9999.0000    62.5030
   65.1250 -9999.0000 -9999.0000    60.8533
   65.2500 -9999.0000 -9999.0000    61.4219
   65.3750 -9999.0000 -9999.0000    62.7691
   65.5000 -9999.0000 -9999.0000    64.3235
   65.6250 -9999.0000 -9999.0000    66.7175
   65.7500 -9999.0000 -9999.0000    69.1920
   65.8750 -9999.0000 -9999.0000    70.4985
   66.0000 -9999.0000 -9999.0000    71.3807
   66.1250 -9999.0000 -9999.0000    72.6726
   66.2500 -9999.0000 -9999.0000    73.9142
   66.3750 -9999.0000 -9999.0000    74.5539
   66.5000 -9999.0000 -9999.0000    74.4609
   66.6250 -9999.0000 -9999.0000    74.3168
   66.7500 -9999.0000 -9999.0000    74.3511
   66.8750 -9999.0000 -9999.0000    74.3584
   67.0000 -9999.0000 -9999.0000    73.8783
   67.1250 -9999.0000 -9999.0000    73.1914
   67.2500 -9999.0000 -9999.0000    73.4135
   67.3750 -9999.0000 -9999.0000    74.2791
   67.5000 -9999.0000 -9999.0000    74.5691
   67.6250 -9999.0000 -9999.0000    73.6703
   67.7500 -9999.0000 -9999.0000    72.9538
   67.8750 -9999.0000 -9999.0000    73.6011
   68.0000 -9999.0000 -9999.0000    74.6513
   68.1250 -9999.0000 -9999.0000    75.5456
   68.2500 -9999.0000 -9999.0000    75.9295
   68.3750 -9999.0000 -9999.0000    75.2063
   68.5000 -9999.0000 -9999.0000    73.4012
   68.6250 -9999.0000 -9999.0000    72.3082
